objectid,filename,title,creator,description,date,date_is_approximate,subject,location,digital_collection,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language
uiblackhistory001,ug13_251_001.jpg,correspondence regarding implementing courses petitioned for,President Ernest W. Hartung,correspondence from Ernest W. Hartung to Joseph A. Tasby,1968-11-01,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 11, Folder 251",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory002,ug13_251_002.jpg,correspondence regarding petitions,Joseph A. Tasby,correspondence from Joseph A. Tasby to Ernest W. Hartung,1968-10-24,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 11, Folder 251",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory003,ug13_251_003.pdf,signed petitions,,"Petition for the Department of Anthropology to offer the course lsited in the 1967-1969 catalogue as Anthro. 158, ""Race Problems,"" during the Spring Semester to help students and staff better understand the overt and underlying causes of racial problems.",undated,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 11, Folder 251",,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory004,ug13_251_004.jpg,correspondence regarding petitions,William S. Greever,correspondence from William S. Greever to H. Walter Steffens,1968-10-15,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 11, Folder 251",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory005,ug13_251_005.jpg,correspondence regarding petitions,Joseph A. Tasby,correspondence from Joseph A. Tasby to Carlton Iiams,1968-10-24,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 11, Folder 251",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory006,ug13_251_006.jpg,"correspondence regarding ""Negro History course""",H. Walter Steffens,correspondence from Boyd A. Martin to H. Walter Steffens,1968-12-03,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 11, Folder 251",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory007,ug13_251_007.jpg,"correspondence regarding ""Negro History course""",William S. Greever,correspondence from William S. Greever to H. Walter Steffens,1968-11-27,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 11, Folder 251",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory008,ug13_251_008.jpg,"newspaper article, ""More Than Just Feeling Fiercely""",Lewiston Morning Tribune,Black studies programs in US universities,1969-02-17,no,,,,"President's Office (Hartung) Records, 1965-1977","UG 13, Box 11, Folder 251",,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory009,mg368_folder60_001.pdf,"history department proposal for a course to be entitled ""The Negro in American History""",Willard Barnes and S.B. Rolland,correspondence from Willard Barnes and S.B. Rolland to History Department Staff,1970-01-21,no,,,,"Siegfried B. Rolland Papers, 1945-1988",MG 368 Folder 60,,,application/pdf,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
uiblackhistory010,mg368_folder60_002.jpg,history department meeting minutes,,,1970-02-04,no,,,,"Siegfried B. Rolland Papers, 1945-1988",MG 368 Folder 60,,,image/jpg,image;stillimage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
