objectid,filename,title,creator,description,date,date_is_approximate,subject,location,digital_collection,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language
coursecatalogs001,ua2011-30_1913-14.pdf,University of Idaho Bulletin: Catalog Number 1912-13 with Announcements for 1913-1914,University of Idaho,"Vol. VIII, No. 3",1913-03,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs002,ua2011-30_1914.pdf,University of Idaho Bulletin: Catalog Number 1913-14 with Announcements for 1914-1915,University of Idaho,"Vol. IX, No. 3",1914-04,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs003,ua2011-30_1916-17.pdf,University of Idaho Bulletin: Annual Catalog 1916-1917,University of Idaho,"Vol. XII, No. 2",1917-05,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs004,ua2011-30_1919-20.pdf,University of Idaho Bulletin: Annual Catalog 1919-1920,University of Idaho,"Vol. XV, No. 3",1920-05,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs005,ua2011-30_1924-25.pdf,University of Idaho Bulletin: Annual Catalog 1924-25 with Announcements for 1925-1926,University of Idaho,"Vol. XX, No. 15",1925-04,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
coursecatalogs006,ua2011-30_1927-28.pdf,University of Idaho Bulletin: Annual Catalog 1927-28 with Announcements for 1928-29,University of Idaho,"Vol. XXIII, No. 16",1928-05,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs007,ua2011-30_1929.pdf,University of Idaho Bulletin: Annual Catalog 1928-29 with Announcements for 1929-30,University of Idaho,"Vol. XXIV, No. 12",1929-05,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs008,ua2011-30_1932.pdf,University of Idaho Bulletin: Annual Catalog 1931-35 with Announcements for 1932-33,University of Idaho,"Vol. XXVII, No. 1",1932-04,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs009,ua2011-30_1933.pdf,University of Idaho Bulletin: Catalog Number 1932-33 with Announcements for 1933-34,University of Idaho,"Vol. XXVIII, No. 1",1933-04,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs010,ua2011-30_1935.pdf,University of Idaho Bulletin: Catalog Number 1934-35 with Announcements for 1935-36,University of Idaho,"Vol. XXX, No. 1",1935-04,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs011,ua2011-30_1936.pdf,University of Idaho Bulletin: Catalog Number 1935-36 with Announcements for 1936-37,University of Idaho,"Vol. XXXI, No. 1",1936-04,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs012,ua2011-30_1937.pdf,University of Idaho Bulletin: Catalog Number 1936-37 with Announcements for 1937-38,University of Idaho,"Vol. XXXII, No. 1",1937-04,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs013,ua2011-30_1939.pdf,University of Idaho Bulletin: Catalog Number 1938-39 with Announcements for 1939-40,University of Idaho,"Vol. XXXIV, No. 1",1939-01,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs014,ua2011-30_1940.pdf,University of Idaho Bulletin: Catalog Number 1939-40 with Announcements for 1940-41,University of Idaho,"Vol. XXXV, No. 1",1940-01,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs015,ua2011-30_1941.pdf,University of Idaho Bulletin: Catalog Number 1940-41 with Announcements for 1941-42,University of Idaho,"Vol. XXXVI, No. 3",1941-04,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs016,ua2011-30_1942.pdf,University of Idaho Bulletin: Catalog Number 1942-43 with Announcements for 1943-44,University of Idaho,"Vol. XXXVIII, No. 2",1943-04,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs017,ua2011-30_1945.pdf,University of Idaho Bulletin: Catalog Number 1943-44 with Announcements for 1944-45,University of Idaho,"Vol. XXXIX, No. 2",1944-04,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
coursecatalogs018,ua2011-30_1992.pdf,University of Idaho Bulletin: General Catalog 1992,University of Idaho,,1992,no,catalogs,,,Special Collections and Archives Records,UA 2011-30,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
